ATA,MAWB,ORIGIN,DEST,AWB PCS,GW,COMODITY
0048,126-27152188,ADL,YIA,48,1856.4,FURN
0048,180-90147573,CGK,DMK,403,15991.2,MAL
0048,807-75679047,MEL,RGN,481,12629.1,FURN
0146,126-99788677,MLG,MAA,277,5775.0,BOOK
0146,229-64634663,CCU,HKG,50,1787.2,CHEM
0146,229-86762164,BWN,TWU,152,7118.5,FOOD
0146,807-29655410,BKI,CCU,89,4687.4,COU
0146,807-69476001,SBW,HKG,26,1170.6,GC
0151,180-41329612,BKI,SYD,302,19946.7,CHEM
0151,229-15677713,MDL,CGK,236,19658.0,CHEM
0151,229-45570755,CEB,PER,355,5041.2,AUTO
0151,695-37804191,TWU,MAA,417,18273.0,XPS
0151,807-21457410,SIN,KNO,50,2038.9,XPS
0151,843-94982908,CGK,HKG,383,11768.8,MACH
0205,180-36619372,DMK,AMD,354,12965.0,ELEC
0205,695-60192261,KCH,HAN,42,498.1,ELI
0205,807-86460539,KCH,AMD,305,1289.8,CLTH
0205,843-29806690,SYD,KUL,458,29406.2,ELI
0213,229-25312516,DMK,RGN,252,3032.9,AVF
0213,807-68526649,KUL,JOG,474,29952.1,MAL
0248,126-18715975,SBW,JOG,149,11944.2,PIL
0248,229-40097636,HKG,VTE,433,8742.8,MED
0248,807-31079846,KCH,DEL,283,1195.0,MACH
0301,180-83300637,AMD,PEN,250,4290.2,GC
0301,229-65804273,BKK,PEN,427,18959.0,GC
0301,807-59555330,TWU,SBW,76,1041.0,FURN
0301,843-77898694,BKI,ICN,478,5969.9,TEX
0309,180-45431319,SOC,MLG,129,10438.9,COU
0309,695-26247735,SDK,DPS,178,7696.1,COU
0309,695-61003997,MNL,SYD,368,20371.0,AVF
0309,843-78608612,BTH,BOM,338,3793.7,AUTO
0532,126-38933176,SOC,TPE,177,3985.5,BOOK
0532,126-53091709,ADL,HKG,440,6016.8,BOOK
0532,180-60888017,DRW,DEL,316,10728.1,GC
0532,229-73380266,KCH,BTH,283,2559.7,CLTH
0532,843-36802975,AMD,ICN,447,10618.0,FURN
0645,126-43183955,PER,MFM,393,19284.6,TEX
0645,229-40667888,RGN,CEB,424,12108.4,ELI
0645,695-39735904,MEL,DPS,373,27027.7,CLTH
0645,695-80162053,MEL,BOM,187,3764.4,CHEM
0645,695-97488142,CCU,CEB,310,5944.7,AVF
0645,807-56095437,SIN,YIA,331,3682.8,MACH
0645,807-87030477,ICN,JOG,188,6350.5,TEX
0645,843-72372114,SDK,PER,343,4108.0,AUTO
0708,843-32321899,RGN,SOC,247,3977.5,AVF
0708,843-51663795,PEN,CCU,76,402.0,BOOK
0728,843-59667685,PVG,CEB,398,26284.1,AVF
0732,180-84252420,NRT,CAN,145,7364.3,MAL
0732,229-23383077,YIA,PLM,8,334.6,XPS
0732,807-87049595,CAN,MLG,246,4741.6,AVF
0732,843-35714784,CCU,SBW,230,2016.3,MACH
0749,126-22120246,HAN,KUL,136,4685.9,MED
0749,807-79244185,TPE,PVG,43,1538.0,CLTH
0749,807-79340535,CCU,SIN,124,5718.1,TEX
0749,807-88714010,SBW,SDK,169,6630.8,CHEM
0755,180-84593961,ADL,MLG,80,895.7,AVF
0755,229-96691619,MLG,KNO,406,2207.5,FOOD
0755,695-73070585,CAN,DPS,119,1975.5,MACH
0755,807-61343880,DPS,MLG,114,2992.7,FURN
0755,843-51098277,ADL,TWU,189,6443.1,CHEM
0808,695-40173413,SYD,NRT,466,5635.7,AVF
0808,807-34970946,MLG,JOG,199,6208.7,MED
0808,843-16086345,DPS,MNL,253,2204.7,XPS
0847,126-19736572,KUL,BTH,319,31762.4,COU
0847,180-17270733,DRW,SYD,331,3445.3,AUTO
0847,180-44392446,VTE,BOM,311,16305.5,ELI
0847,229-89520597,MFM,CEB,437,13337.6,MED
0847,807-96934122,NRT,SOC,478,22492.1,MED
0847,843-72363359,ADL,YIA,287,17566.7,MACH
0859,126-84077101,JOG,SGN,234,19835.7,TEX
0859,180-52101056,MDL,MEL,262,4943.9,MAL
0859,843-97260863,DMK,ADL,21,1573.7,MAL
0859,843-98195059,PER,HKG,396,20191.7,XPS
0915,180-17901903,PEN,DMK,464,2962.9,CLTH
0915,180-55001909,NRT,ICN,20,624.9,XPS
0915,229-38799154,MEL,CAN,356,20360.2,ELI
0925,229-41348220,RGN,DPS,163,9779.2,FOOD
0925,229-95918360,RGN,CAN,59,2671.2,PIL
0925,695-18083974,MEL,HKG,486,27486.9,MED
0925,843-67594492,SBW,PER,315,14876.9,MED
0927,180-84437458,PVG,DRW,54,1789.8,ELI
0927,695-57354167,KCH,TWU,214,4317.4,CLTH
1006,229-34391257,BKK,MFM,195,4548.0,AUTO
1006,807-58082464,KCH,AMD,166,851.2,XPS
1006,807-70672142,DEL,PLM,45,3641.8,AUTO
1006,843-20356922,CAN,HKG,260,18086.3,CLTH
1006,843-41039390,SGN,NRT,362,5942.9,AUTO
1122,229-22309586,PEN,PLM,453,5071.3,AVF
1122,695-91722503,YIA,MDL,57,1949.2,ELI
1122,843-85543051,PVG,SIN,128,2177.4,TEX
1122,843-92924837,BKK,HKG,140,3966.5,MACH
1148,126-89865458,SDK,CAN,225,3654.8,FOOD
1148,180-69302158,SBW,MDL,288,959.3,XPS
1148,180-69580374,BWN,PLM,22,1549.1,CHEM
1148,229-10289289,SGN,BKI,475,22626.8,CHEM
1148,807-78159587,SIN,CCU,36,1730.6,TEX
1148,843-20598952,MEL,SGN,318,14167.3,XPS
1154,126-51455302,DEL,PEN,175,10250.7,TEX
1154,695-30452412,KCH,ICN,243,11488.4,MAL
1154,807-45059710,DEL,AMD,493,13536.2,CHEM
1154,843-46677730,PVG,BWN,180,1713.6,FOOD
1154,843-54585178,RGN,DRW,443,14713.5,PIL
1154,843-91547054,DRW,KNO,18,164.2,FURN
1205,126-38195995,DRW,KCH,342,5498.2,CHEM
1205,126-51617680,SOC,HAN,418,10827.5,MAL
1205,126-83284724,CEB,ADL,90,5822.6,BOOK
1205,180-55199748,MEL,ICN,306,4993.5,PIL
1223,807-95318289,SGN,VTE,130,5200.8,COU
1238,126-31172421,KNO,SBW,361,13276.0,CLTH
1238,229-19391725,ADL,CEB,320,10845.5,ELEC
1238,229-86134287,DPS,MEL,79,5402.5,FURN
1238,807-80606503,JOG,SOC,403,26542.5,FOOD
1302,180-69533928,DMK,HKG,165,3197.1,MED
1321,180-82772208,BKK,CEB,30,264.5,CLTH
1321,229-95704631,VTE,HKG,346,2886.9,AUTO
1321,807-57236885,SOC,DMK,159,2280.6,FURN
1440,180-17698469,DMK,DRW,327,9664.9,PIL
1440,229-20399639,CAN,KCH,140,5179.9,COU
1440,695-82475098,MLG,KNO,42,2458.3,AUTO
1440,807-17318358,SBW,CAN,358,24764.6,BOOK
1440,807-66975380,SIN,KNO,309,11854.5,ELEC
1440,807-85957706,DRW,BKK,467,18774.3,ELEC
1440,843-88561612,MDL,SYD,417,7204.4,FURN
1501,126-16416148,SYD,CEB,140,1561.4,FOOD
1501,126-98122539,AMD,NRT,171,2216.4,FURN
1501,180-50071487,TWU,AMD,338,6605.4,BOOK
1501,180-63747791,SBW,DPS,233,1834.8,ELI
1501,180-83363160,BOM,DMK,227,21381.3,ELEC
1501,229-75056916,TPE,CGK,499,28274.5,PIL
1501,807-96525668,SIN,PER,305,10131.1,AVF
1505,126-99508850,RGN,MNL,207,10026.4,MAL
1505,180-55799273,KUL,MDL,422,13135.0,FURN
1505,695-67740376,HKG,ICN,437,27357.3,MAL
1628,126-99774697,DRW,HAN,371,5537.5,XPS
1628,180-97512508,NRT,SOC,494,4127.5,AUTO
1628,229-59796322,ADL,JOG,215,10743.8,CHEM
1655,126-38210242,MDL,AMD,311,12834.1,MACH
1655,180-98870276,HAN,ICN,305,7057.0,FOOD
1655,229-96347724,CGK,DMK,246,12088.7,ELI
1655,695-11835355,SBW,RGN,48,1278.2,ELI
1655,843-28419343,BKI,PVG,168,2177.0,CHEM
1655,843-39920292,CGK,DRW,99,2083.8,COU
1658,229-15864298,RGN,VTE,347,25350.9,ELEC
1658,807-48604965,AMD,PVG,181,2205.5,XPS
1658,843-22097496,CAN,CEB,383,7271.8,FURN
1748,126-13471527,SIN,KCH,493,31203.0,GC
1748,126-23492385,CCU,PVG,117,2369.2,XPS
1748,180-76319264,PLM,TWU,390,18442.5,AUTO
1748,229-38470244,BWN,BKI,175,4290.5,MED
1748,695-12205915,PER,SOC,295,3352.7,CHEM
1748,807-47215199,NRT,ICN,277,3435.0,GC
1748,843-61030579,JOG,PEN,257,11636.0,FURN
1755,126-37415205,ADL,MNL,123,1451.9,ELEC
1755,229-51946203,ADL,BKI,192,14076.7,BOOK
1755,807-20746667,MNL,DRW,152,4010.2,CHEM
1755,807-81922443,DEL,MAA,111,3882.5,CLTH
2031,126-86560394,KNO,BTH,394,7473.0,CLTH
2032,126-25457816,PLM,DMK,73,2383.1,FOOD
2032,229-61894582,CEB,DEL,255,9686.7,CLTH
2032,229-80610004,TPE,DMK,244,6406.5,ELI
2032,695-54398056,BWN,BTH,139,2210.0,MAL
2032,843-19369750,MFM,MDL,175,10385.8,GC
2039,180-23489853,KNO,BOM,356,3574.3,AUTO
2039,180-46173157,SDK,DPS,391,18401.6,MACH
2039,180-70254091,PEN,SBW,123,3987.6,BOOK
2039,180-72962895,KNO,PER,3,72.6,MAL
2039,229-47346970,RGN,BKI,428,1966.8,AVF
2039,695-61053877,BTH,KUL,483,16400.7,CHEM
2120,229-69686067,KCH,SGN,51,2634.1,FURN
2127,126-57130035,SYD,SOC,205,12876.7,AUTO
2127,126-90246882,BKK,SYD,332,6623.3,FOOD
2127,229-39372360,DEL,JOG,238,1509.8,ELI
2127,229-79067939,KUL,DRW,446,14692.5,MAL
2127,695-61053474,KNO,PLM,153,13274.5,ELEC
2127,843-51746937,HKG,AMD,14,893.5,FOOD
2127,843-91478884,BWN,PEN,326,3871.0,XPS
2130,229-95618110,BKI,BTH,131,8476.6,MACH
2130,807-55377076,CGK,AMD,284,3620.9,COU
2141,180-30743797,KCH,BOM,500,15692.4,CHEM
2141,180-77750178,MDL,SDK,229,16786.0,BOOK
2141,180-88566318,SBW,MNL,196,12637.8,MACH
2141,229-58567046,SIN,KNO,433,4876.8,FOOD
2141,695-13619375,HAN,AMD,289,6301.3,CHEM
2141,807-41510328,PER,CAN,117,5198.6,ELI
2141,807-71124923,RGN,SYD,295,6264.8,BOOK
2141,843-96926431,DMK,SYD,422,16953.6,CHEM
2315,126-93568503,MLG,SYD,227,7166.1,XPS
2315,180-51395350,DPS,KCH,203,5826.3,MAL
2315,695-46578001,BOM,MFM,468,24098.3,ELEC
2315,807-63118906,PVG,BWN,114,1714.0,CLTH
2356,126-58112135,VTE,KNO,75,1340.8,PIL
2356,229-47028180,CCU,TPE,486,24795.8,MAL
2356,843-66348030,PER,MEL,235,3227.8,BOOK
2357,126-30261159,KNO,DMK,241,5726.1,MED
2357,229-30534124,MDL,DEL,376,15801.6,BOOK
2357,229-43567615,PLM,PVG,102,9072.9,ELI
2357,229-47135391,DPS,KUL,171,9882.2,MED
2357,807-81216573,SOC,CCU,464,19021.4,XPS
2357,807-94216001,SYD,DPS,159,3540.9,FURN
2357,843-28099607,DMK,BTH,19,195.7,MAL
