DATE,ATA,BT ARR,B/BULK,MAWB,BT NUMBER,FLT NO,ORIGIN,DEST,AWB PCS,RCVD PCS,GW,CW,CHECKER,TEAM,COMODITY,REMARKS (LATE TOW REASON),REMARKS,DO E-POUCH UPLOADED,GROUP,ATA(F),BB(F),LEADTIME,STATUS,SECTION,BT ARR(F),RAMP LT,RAMP STATS
10-Jun-25,0927,1003,1125,180-84437458,PMC 153,QZ7533,PVG,DRW,54,54,1789.8,1789.8,GTR8416,Beta,ELI,,,,,,,,,,,,
10-Jun-25,0927,1036,1100,695-57354167,I TG 274 / GTR DT 81 / I TG 983,QZ7533,KCH,TWU,214,214,4317.4,4317.4,GTR8418,Delta,CLTH,,,,,,,,,,,,
10-Jun-25,1154,1321,1309,126-51455302,GTR DT 174 / BT 276,D79991,DEL,PEN,175,175,10250.7,10250.7,GTR8417,Gamma,TEX,,,,,,,,,,,,
10-Jun-25,1154,1255,1303,695-30452412,BT 446,D79991,KCH,ICN,243,243,11488.4,11488.4,GTR8417,Delta,MAL,,,,,,,,,,,,
10-Jun-25,1154,1243,1324,807-45059710,I TG 258,D79991,DEL,AMD,493,493,13536.2,13536.2,GTR8416,Delta,CHEM,,,,,,,,,,,,
10-Jun-25,1154,1302,1333,843-46677730,GTR DT 110 / BT 312,D79991,PVG,BWN,180,180,1713.6,1713.6,GTR8415,Delta,FOOD,,,,,,,,,,,,
10-Jun-25,1154,1245,1347,843-54585178,I TG 451 / I TG 441 / PMC 140 / I TG 329,D79991,RGN,DRW,443,443,14713.5,14713.5,GTR8419,Beta,PIL,,,,,,,,,,,,
10-Jun-25,1154,1254,1314,843-91547054,GTR DT 992 / I TG 299,D79991,DRW,KNO,18,18,164.2,164.2,GTR8418,Echo,FURN,,,,,,,,,,,,
10-Jun-25,1205,1325,1320,126-38195995,GTR DT 288 / GTR DT 374 / KUL 955,Z24903,DRW,KCH,342,342,5498.2,5498.2,GTR8419,Beta,CHEM,,,,,,,,,,,,
10-Jun-25,1205,1312,1339,126-51617680,PMC 28 / GTR DT 966,Z24903,SOC,HAN,418,418,10827.5,10827.5,GTR8416,Delta,MAL,,,,,,,,,,,,
10-Jun-25,1205,1326,1323,126-83284724,GTR DT 690,Z24903,CEB,ADL,90,90,5822.6,5822.6,GTR8418,Beta,BOOK,,,,,,,,,,,,
10-Jun-25,1205,1315,1324,180-55199748,I TG 675 / BT 733,Z24903,MEL,ICN,306,306,4993.5,4993.5,GTR8418,Delta,PIL,,,,,,,,,,,,
10-Jun-25,2356,0100,0146,126-58112135,I TG 935 / PMC 515 / I TG 398 / I TG 185,XT4415,VTE,KNO,75,75,1340.8,1340.8,GTR8415,Gamma,PIL,,,,,,,,,,,,
10-Jun-25,2356,0104,0110,229-47028180,I TG 60,XT4415,CCU,TPE,486,486,24795.8,24795.8,GTR8418,Echo,MAL,,,,,,,,,,,,
10-Jun-25,2356,0048,0145,843-66348030,BT 103 / BT 673,XT4415,PER,MEL,235,235,3227.8,3227.8,GTR8416,Gamma,BOOK,,,,,,,,,,,,
11-Jun-25,0151,0314,0350,180-41329612,KUL 84,D76672,BKI,SYD,302,302,19946.7,19946.7,GTR8415,Echo,CHEM,,,,,,,,,,,,
11-Jun-25,0151,0237,0332,229-15677713,PMC 427 / PMC 655,D76672,MDL,CGK,236,236,19658.0,19658.0,GTR8415,Delta,CHEM,,,,,,,,,,,,
11-Jun-25,0151,0317,0331,229-45570755,I TG 495 / BT 825 / GTR DT 305,D76672,CEB,PER,355,355,5041.2,5041.2,GTR8418,Alpha,AUTO,,,,,,,,,,,,
11-Jun-25,0151,0305,0254,695-37804191,GTR DT 426 / GTR DT 476,D76672,TWU,MAA,417,417,18273.0,18273.0,GTR8416,Gamma,XPS,,,,,,,,,,,,
11-Jun-25,0151,0259,0300,807-21457410,I TG 752 / I TG 999 / GTR DT 134,D76672,SIN,KNO,50,50,2038.9,2038.9,GTR8417,Echo,XPS,,,,,,,,,,,,
11-Jun-25,0151,0256,0257,843-94982908,BT 478 / KUL 274 / GTR DT 254,D76672,CGK,HKG,383,383,11768.8,11768.8,GTR8416,Alpha,MACH,,,,,,,,,,,,
11-Jun-25,0708,0821,0856,843-32321899,BT 626 / GTR DT 847,XT1779,RGN,SOC,247,247,3977.5,3977.5,GTR8418,Echo,AVF,,,,,,,,,,,,
11-Jun-25,0708,0758,0813,843-51663795,KUL 190 / BT 489 / I TG 959 / BT 7,XT1779,PEN,CCU,76,76,402.0,402.0,GTR8417,Delta,BOOK,,,,,,,,,,,,
11-Jun-25,0732,0846,0847,180-84252420,KUL 477,Z2534,NRT,CAN,145,145,7364.3,7364.3,GTR8417,Beta,MAL,,,,,,,,,,,,
11-Jun-25,0732,0827,0915,229-23383077,KUL 655 / I TG 377 / PMC 227,Z2534,YIA,PLM,8,8,334.6,334.6,GTR8416,Beta,XPS,,,,,,,,,,,,
11-Jun-25,0732,0832,0841,807-87049595,PMC 383 / GTR DT 719 / PMC 935 / GTR DT 776,Z2534,CAN,MLG,246,246,4741.6,4741.6,GTR8419,Beta,AVF,,,,,,,,,,,,
11-Jun-25,0732,0850,0847,843-35714784,PMC 458,Z2534,CCU,SBW,230,230,2016.3,2016.3,GTR8419,Gamma,MACH,,,,,,,,,,,,
11-Jun-25,0808,0929,0950,695-40173413,PMC 785 / KUL 247 / BT 69 / KUL 609,QZ9297,SYD,NRT,466,466,5635.7,5635.7,GTR8415,Delta,AVF,,,,,,,,,,,,
11-Jun-25,0808,0916,0951,807-34970946,BT 759,QZ9297,MLG,JOG,199,199,6208.7,6208.7,GTR8415,Delta,MED,,,,,,,,,,,,
11-Jun-25,0808,0906,0922,843-16086345,KUL 144 / PMC 297,QZ9297,DPS,MNL,253,253,2204.7,2204.7,GTR8416,Echo,XPS,,,,,,,,,,,,
11-Jun-25,1006,1112,1121,229-34391257,I TG 701 / KUL 670,AK6324,BKK,MFM,195,195,4548.0,4548.0,GTR8415,Alpha,AUTO,,,,,,,,,,,,
11-Jun-25,1006,1101,1130,807-58082464,PMC 488 / KUL 653 / KUL 720 / BT 85,AK6324,KCH,AMD,166,166,851.2,851.2,GTR8418,Delta,XPS,,,,,,,,,,,,
11-Jun-25,1006,1117,1156,807-70672142,PMC 879 / KUL 917 / PMC 942,AK6324,DEL,PLM,45,45,3641.8,3641.8,GTR8415,Beta,AUTO,,,,,,,,,,,,
11-Jun-25,1006,1049,1203,843-20356922,I TG 48 / KUL 701 / I TG 921 / PMC 578,AK6324,CAN,HKG,260,260,18086.3,18086.3,GTR8415,Beta,CLTH,,,,,,,,,,,,
11-Jun-25,1006,1135,1200,843-41039390,KUL 985 / BT 602 / BT 771,AK6324,SGN,NRT,362,362,5942.9,5942.9,GTR8418,Alpha,AUTO,,,,,,,,,,,,
11-Jun-25,1122,1211,1232,229-22309586,PMC 855 / GTR DT 694,QZ4474,PEN,PLM,453,453,5071.3,5071.3,GTR8419,Gamma,AVF,,,,,,,,,,,,
11-Jun-25,1122,1216,1310,695-91722503,KUL 513 / I TG 55,QZ4474,YIA,MDL,57,57,1949.2,1949.2,GTR8415,Delta,ELI,,,,,,,,,,,,
11-Jun-25,1122,1206,1315,843-85543051,I TG 620,QZ4474,PVG,SIN,128,128,2177.4,2177.4,GTR8419,Echo,TEX,,,,,,,,,,,,
11-Jun-25,1122,1217,1311,843-92924837,KUL 650 / I TG 803 / GTR DT 503,QZ4474,BKK,HKG,140,140,3966.5,3966.5,GTR8416,Gamma,MACH,,,,,,,,,,,,
11-Jun-25,1148,1253,1348,126-89865458,GTR DT 191 / PMC 677 / GTR DT 88 / PMC 303,QZ8937,SDK,CAN,225,225,3654.8,3654.8,GTR8416,Alpha,FOOD,,,,,,,,,,,,
11-Jun-25,1148,1223,1305,180-69302158,GTR DT 729 / BT 758,QZ8937,SBW,MDL,288,288,959.3,959.3,GTR8418,Gamma,XPS,,,,,,,,,,,,
11-Jun-25,1148,1241,1254,180-69580374,KUL 966,QZ8937,BWN,PLM,22,22,1549.1,1549.1,GTR8417,Delta,CHEM,,,,,,,,,,,,
11-Jun-25,1148,1241,1336,229-10289289,KUL 136 / KUL 192 / GTR DT 460,QZ8937,SGN,BKI,475,475,22626.8,22626.8,GTR8419,Echo,CHEM,,,,,,,,,,,,
11-Jun-25,1148,1250,1314,807-78159587,KUL 92,QZ8937,SIN,CCU,36,36,1730.6,1730.6,GTR8417,Echo,TEX,,,,,,,,,,,,
11-Jun-25,1148,1223,1326,843-20598952,GTR DT 13 / I TG 424 / GTR DT 798,QZ8937,MEL,SGN,318,318,14167.3,14167.3,GTR8415,Echo,XPS,,,,,,,,,,,,
